Athlete	CountryCode	Sport	Medals
allen stack	USA	Swimming	1
allen woodring	USA	Athletics	1
allison schmitt	USA	Swimming	2
allison wagner	USA	Swimming	1
allyson felix	USA	Athletics	3
allyson felix, deedee trotter, sanya richards-ross, francena mccorory	USA	Athletics	1
allyson felix, tianna madison, bianca knight, carmelita jeter	USA	Athletics	1
alonzo babers	USA	Athletics	1
alva colqhoun, lorraine crapp, dawn fraser, ilsa konrads	AUS	Swimming	1
alvah meyer	USA	Athletics	1
alvin harrison	USA	Athletics	1
alvin harrison, derek mills, lamont smith, anthuan maybank	USA	Athletics	1
alvin kraenzlein	USA	Athletics	1
alwyn morris, hugh fisher	CAN	Canoeing	1
amadou dia b?	SEN	Athletics	1
amanda beard	USA	Swimming	5
amaury leveaux	FRA	Swimming	1
amaury leveaux, clement lefert, gregory mallet, yannick agnel	FRA	Swimming	1
ambrose gaines	USA	Swimming	1
amos biwott	KEN	Athletics	1
amy van dyken	USA	Swimming	2
amy van dyken, jenny thompson, angel martino, kristine quance, catherine fox, amanda beard, beth botsford, whitney hedgepeth	USA	Swimming	1
amy white	USA	Swimming	1
ana guevara	MEX	Athletics	1
ana quirot	CUB	Athletics	2
anastasia zueva	RUS	Swimming	1
anatoly grishin, nikolay chuzhikov, vyacheslav ionov, vladimir morozov	URS	Canoeing	1
anatoly mikhaylov	URS	Athletics	1
anatoly sass, aleksandr timoshinin	URS	Rowing	1
anca patrascoiu	ROM	Swimming	1
anders g?rderud	SWE	Athletics	1
anders holmertz	SWE	Swimming	3
anders holmertz, lars fr?lander, tommy werner, christer wallin	SWE	Swimming	1
andrea gyarmati	HUN	Swimming	2
andrea pollack	GDR	Swimming	3
andrea pollack, claudia hempel, kornelia ender, petra priemer	GDR	Swimming	1
andrea pollack, hannelore anke, kornelia ender, ulrike richter	GDR	Swimming	1
andreas dittmer	GER	Canoeing	4
andreas dittmer, gunar kirchbach	GER	Canoeing	1
andreas hajek, andr? steiner, stephan volkert, andr? willms	GER	Rowing	1
andreas ihle, martin hollstein	GER	Canoeing	1
andreas st?hle	GDR	Canoeing	1
andreas szigat, christian tr?ger, mark pinger, dirk richter, jonathon cleveland, steffen zesner, bengt zikarsky	GER	Swimming	1
andrei igorov	ROM	Canoeing	1
andre phillips	USA	Athletics	1
andrew byrnes, kyle hamilton, malcolm howard, adam kreek, ben rutledge, brian price, kevin light, jake wetzel, dominic sieterle	CAN	Rowing	1
andrew charlton	AUS	Swimming	4
andrew charlton, maurice christie, frank beaurepaire, ernest henry	AUS	Swimming	1
andrew jameson	GBR	Swimming	1
andrew lauterstein	AUS	Swimming	1
andrew lauterstein, patrick murphy, ashley callus, leith brodie, eamon sullivan, matt targett	AUS	Swimming	1
andrew triggs-hodge, steve williams, peter reed, tom james	GBR	Rowing	1
andrew trim, danny collins	AUS	Canoeing	1
andrey bogdanov, sergey koplyakov, andrey krylov, vladimir raskatov	URS	Swimming	1
andrey grechin, danila izotov, nikita lobintsev, vladimir morozov	RUS	Swimming	1
andrey korneyev	RUS	Swimming	1
andrey krylov	URS	Swimming	2
andrey perlov	URS	Athletics	1
andrey smirnov	URS	Swimming	1
andr? gaudin	FRA	Rowing	1
andrian dushev, milko kazanov	BUL	Canoeing	1
andriy serdinov	UKR	Swimming	1
andr?s hargitay	HUN	Swimming	1
andr? silva, arnaldo silva, edson ribeiro, robson da silva	BRA	Athletics	1
andr? wohllebe	GDR	Canoeing	1
andr? wohllebe, andreas st?hle, hans-j?rg bliesener, kay bluhm	GDR	Canoeing	1
andrzej badewski	POL	Athletics	1
andrzej gronowicz, jerzy opara	POL	Canoeing	1
andrzej zieliwski, wieslaw maniak, marian foik, marian dudziak	POL	Athletics	1
andy holmes, steven redgrave	GBR	Rowing	1
andy stanfield	USA	Athletics	2
aneta konieczna, beata mikolajczyk	POL	Canoeing	1
aneta pastuszka, beata sokolowska	POL	Canoeing	2
anette r?ckes, rita wilden, hildegard falck, inge b?dding	FRG	Athletics	1
anett schuck, manuela mucke, birgit fischer, katrin wagner	GER	Canoeing	1
angela alupei, constanta burcica-pipota	ROM	Rowing	1
angela bailey, france gareau, angella taylor, marita payne	CAN	Athletics	1
angela kennedy, helen denman, samantha riley, sarah ryan, nicole stevenson, susan o'neill	AUS	Swimming	1
angel martino	USA	Swimming	3
angelo taylor	USA	Athletics	2
angelo taylor, tony mcquay, bryshon nellum, joshua mance	USA	Athletics	1
anier garcia	CUB	Athletics	2
anita lonsbrough	GBR	Swimming	1
anita nall	USA	Swimming	2
anke m?hring	GDR	Swimming	1
anna olsson, susanne rosenqvist, maria haglund, agneta andersson	SWE	Canoeing	1
anna pfeffer	HUN	Canoeing	1
anna pfeffer, katalin rozsny?i	HUN	Canoeing	1
anna seaton, stephanie maxwell-pierson	USA	Rowing	1
ann curtis	USA	Swimming	2
annegret richter	FRG	Athletics	2
annelie ehrhardt	GDR	Athletics	1
annelies bredael	BEL	Rowing	1
anne marden	USA	Rowing	1
annemarie cox, annemiek derckx	NED	Canoeing	1
annemarie verstappen	NED	Swimming	2
annemiek de haan, hurnet dekkers, nienke hommes, esther worhel, froukje wegman, annemarieke van rumpt, marlies smulders, helen tanger, sarah siegelaar	NED	Rowing	1
annemiek derckx	NED	Canoeing	1
anne ottenbrite	CAN	Swimming	2
anne poleska	GER	Swimming	1
annie vernon, debbie flood, katherine grainger, frances houghton	GBR	Rowing	1
anni holdmann, leni junker, rosa kellner, leni schmidt	GER	Athletics	1
ann jardin, wendy hogg, robin corsiglia, susan sloan	CAN	Swimming	1
ann packer	GBR	Athletics	2
antal kiss	HUN	Athletics	1
antal r?ka	HUN	Athletics	1
antanas mikenas	URS	Athletics	1
anthony edwards, ben cureton, simon burgess, glen loftus	AUS	Rowing	1
anthony edwards, bruce hick	AUS	Rowing	1
anthony ervin	USA	Swimming	1
anthony mosse	NZL	Swimming	1
anthony nesty	SUR	Swimming	2
antje buschschulte	GER	Swimming	1
antje buschschulte, kerstin kielga?, sara harstick, franziska van almsick	GER	Swimming	1
antje buschschulte, meike freitag, simone osygus, sandra v?lker, franziska van almsick	GER	Swimming	1
antoaneta frenkeva	BUL	Swimming	2
antoine richard, hermann panzo, pascal barr?, patrick barr?	FRA	Athletics	1
antonel borsan, marcel glavan	ROM	Canoeing	1
antonina melnikova	URS	Canoeing	1
antonina seredina	URS	Canoeing	1
antonina seredina, lyudmila pinayeva-khvedosyuk	URS	Canoeing	1
antonina seredina, mariya shubina	URS	Canoeing	1
antonio leit?o	POR	Athletics	1
antonio mckay	USA	Athletics	1
antonio pettigrew, alvin harrison, calvin harrison, michael johnson	USA	Athletics	1
antonio rossi	ITA	Canoeing	1
antonio rossi, beniamino bonomi	ITA	Canoeing	2
antonio rossi, bruno dreossi	ITA	Canoeing	1
antonio scaduto, andrea facchin	ITA	Canoeing	1
antti kasvio	FIN	Swimming	1
archibald mckinnon, lorne loomer, donald arnold, ignace d'hondt	CAN	Rowing	1
archie hahn	USA	Athletics	3
archie williams	USA	Athletics	1
ardalion ignatyev	URS	Athletics	1
aries merritt	USA	Athletics	1
arkady vyatchanin	RUS	Swimming	2
armas toivonen	FIN	Athletics	1
armin hary	GER	Athletics	1
arne bergodd, rolf andreassen, ole nafstad, finn tveter	NOR	Rowing	1
arne borg	SWE	Swimming	4
arne borg, ?ke borg, georg werner, orvar trolle	SWE	Swimming	1
arne nielsson, christian wig?	DEN	Canoeing	1
arno bieberstein	DEU	Swimming	1
arnold jackson	GBR	Athletics	1
arnold jonke, christoph zerbst	AUT	Rowing	1
arsen miskarov	URS	Swimming	2
arthur ayrault, john sayre, ted nash, rusty wailes	USA	Rowing	1
arthur barnard	USA	Athletics	1
arthur blake	USA	Athletics	1
arthur jonath	GER	Athletics	1
arthur newton	USA	Athletics	2
arthur porritt	NZL	Athletics	1
arthur schwab	SUI	Athletics	1
arthur shaw	USA	Athletics	1
arthur wint	JAM	Athletics	3
arto bryggare	FIN	Athletics	1
artur svensson, gustav weijnarth, nils engdahl, erik byl?hn	SWE	Athletics	1
artur wojdat	POL	Swimming	1
arvidas juozaitis	URS	Swimming	1
arvo aaltonen	FIN	Swimming	1
arvo askola	FIN	Athletics	1
arvo ojanper?	FIN	Canoeing	1
asafa powell, michael frater, nesta carter, usain bolt, dwight thomas	JAM	Athletics	1
asbel kiprop	KEN	Athletics	1
ashley tappin, jenny thompson, angel martino, nicole haislett, crissy ahmann-leighton, dara torres	USA	Swimming	1
asli cakir alptekin	TUR	Athletics	1
assefa mezgebu	ETH	Athletics	1
astrid strau?	GDR	Swimming	1
atanase sciotnic, aurel vernescu, mihai turcas, simion cuciuc	ROM	Canoeing	1
athanasia tsoumeleka	GRE	Athletics	1
ato boldon	TRI	Athletics	4
attila adrovicz, ferenc csipes, andr?s rajna, g?bor horv?th	HUN	Canoeing	1
attila ?brah?m, ferenc csipes	HUN	Canoeing	1
attila ?brah?m, ferenc csipes, zsolt gyulai, l?szl? fidel	HUN	Canoeing	1
attila czene	HUN	Swimming	2
attila vajda	HUN	Canoeing	2
audrey patterson	USA	Athletics	1
audrey williamson	GBR	Athletics	1
audun boysen	NOR	Athletics	1
august desch	USA	Athletics	1
aurel vernescu	ROM	Canoeing	1
aurica barascu, georgeta damian, doina ignat, elena georgescu, rodica florea, liliana gafencu, viorica susanu, ioana papuc, elisabeta lipa	ROM	Rowing	1
aya terakawa	JPN	Swimming	1
aya terakawa, yuka kato, haruka ueda, satomi suzuki	JPN	Swimming	1
barbara burke, audrey brown, eileen hiscock, violet olney	GBR	Athletics	1
barbara ferrell	USA	Athletics	1
barbara g?bel	GER	Swimming	1
barbara jones, martha hudson, wilma rudolph, lucinda williams	USA	Athletics	1
barbara krause	GDR	Swimming	2
barbara olmsted, lucie guay, sue holloway, alexandra barr?	CAN	Canoeing	1
barbara sch?ttpelz	FRG	Canoeing	1
barney ewell	USA	Athletics	2
barry kelly, grant kenny	AUS	Canoeing	1
barry magee	NZL	Athletics	1
basil heatley	GBR	Athletics	1
beata mikolajczyk, karolina naja	POL	Canoeing	1
beatrice caslaru	ROM	Swimming	2
beatrice lyons	AUS	Swimming	1
beatrice utondu, mary onyali, christy opara-thompson, faith idehen	NGR	Athletics	1
beaufort burdekin, robert bourne, william fison, thomas gillespie, john walker, arthur wiggins, charles littlejohn, william parker, frederick pitman	GBR	Rowing	1
becky smith	CAN	Swimming	1
becky smith, gail amundrud, barbara clark, ann jardin	CAN	Swimming	1
ben eastman	USA	Athletics	1
ben fouhy	NZL	Canoeing	1
bengt baron	SWE	Swimming	1
ben hunt-davis, simon dennis, rowley douglas, louis attrill, steve trapmore, kieran west, andrew lindsay, luka grubor, fred scarlett	GBR	Rowing	1
beniamino bonomi	ITA	Canoeing	1
beniamino bonomi, daniele scarpa	ITA	Canoeing	1
benita fitzgerald-brown	USA	Athletics	1
benjamin kogo	KEN	Athletics	1
ben jipcho	KEN	Athletics	1
ben johnson	CAN	Athletics	1
ben johnson, tony sharpe, sterling hinds, desai williams	CAN	Athletics	1
benny nielsen	DEN	Swimming	1
bent rasch, finn haunstoft	DEN	Canoeing	1
bergen, csima, gibson, mccabe, howard, byrnes, brown, crothers, price	CAN	Rowing	1
bernard bregeon	FRA	Canoeing	1
bernard lagat	KEN	Athletics	2
bernardo sugura	MEX	Athletics	1
bernard williams iii	USA	Athletics	1
bernd duvigneau, r?diger helm, frank-peter bischof, j?rgen lehnert	GDR	Canoeing	1
bernd kannenberg	FRG	Athletics	1
bernd landvoigt, j?rg landvoigt	GDR	Rowing	2
bernd landvoigt, j?rg landvoigt, hans-joachim borzym, harold dimke, heinrich mederow, dietmar schwarz, manfred schmorde, manfred schneider, hartmut schreiber	GDR	Rowing	1
bernd olbricht, joachim mattern	GDR	Canoeing	1
bernhard von gaza	DEU	Rowing	1
bershawn jackson	USA	Athletics	1
bertha brouwer	NED	Athletics	1
bertil albertsson	SWE	Athletics	1
bertrand vecten, olivier moncelet, gilles bosquet, daniel fauche	FRA	Rowing	1
beth botsford	USA	Swimming	1
betsy mitchell	USA	Swimming	1
betty cuthbert	AUS	Athletics	3
beverley whitfield	AUS	Swimming	2
beverly mcdonald	JAM	Athletics	1
bevil rudd	SAF	Athletics	2
bill carr	USA	Athletics	1
bill dellinger	USA	Athletics	1
bill hogenson	USA	Athletics	2
bill mulliken	USA	Swimming	1
billy mills	USA	Athletics	1
birgit fischer	GDR	Canoeing	2
birgit fischer	GER	Canoeing	1
birgit fischer, anke nothnagel-von seck	GDR	Canoeing	1
birgit fischer, carolin leonhardt	GER	Canoeing	1
birgit fischer, katrin wagner	GER	Canoeing	1
birgit fischer, ramona portwich	GER	Canoeing	1
birgit fischer, ramona portwich, anett schuck, manuela mucke	GER	Canoeing	1
birgit fischer, ramona portwich, heike singer, anke nothnagel-von seck	GDR	Canoeing	1
birgit peter, martina schr?ter	GDR	Rowing	1
birgit treiber	GDR	Swimming	3
birte weigang	GDR	Swimming	2
birte weigang, kathrin mei?ner, kristin otto, silke h?rner	GDR	Swimming	1
birute sakickiene, kristina poplavskaja	LTU	Rowing	1
bisi afolabi, falilat ogunkoya, charity opara, fatima yusuf	NGR	Athletics	1
bjorn bach, jan sch?fer, stefan ulm, mark zabel	GER	Canoeing	1
bj?rn hasl?v, kurt helmudt, john hansen, erik petersen	DEN	Rowing	1
b?la goldov?nyi, gy?rgy cs?nyi, l?szl? zar?ndi, g?za varasdi	HUN	Athletics	1
blain lindgren	USA	Athletics	1
blair horn, mark evans, michael evans, dean crawford, grant main, kevin neufeld, brian mcmahon, paul steele, patrick turner	CAN	Rowing	1
bobby morrow	USA	Athletics	2
bobby pearce	AUS	Rowing	2
bob hayes	USA	Athletics	1
bob leavitt	USA	Athletics	1
bob schul	USA	Athletics	1
bob sohl	USA	Swimming	1
bob tisdall	IRL	Athletics	1
bodo t?mmler	FRG	Athletics	1
bo gustafsson	SWE	Athletics	1
bohuslav karl?k	CZE	Canoeing	1
bong-ju lee	KOR	Athletics	1
bonnie mealing	AUS	Swimming	1
borislav ananiev, nikolay ilkov	BUL	Canoeing	1
borislav borisov, lazar khristov, bozhidar milenkov, ivan manev	BUL	Canoeing	1
boris steimetz, fabien gilot, alain bernard, fr?d?rick bousquet, amaury leveaux, gregory mallet	FRA	Swimming	1
botond storcz, g?bor horv?th, zoltan kammerer, akos vereckei	HUN	Canoeing	1
bouguerra el quafi	FRA	Athletics	1
bowen stassforth	USA	Swimming	1
brad bridgewater	USA	Swimming	1
bradford cooper	AUS	Swimming	1
bradley lewis, paul enquist	USA	Rowing	1
brahim boutayeb	MAR	Athletics	1
brahim lahlafi	MAR	Athletics	1
b?rbel w?ckel-eckert	GDR	Athletics	2
b?rbel w?ckel-eckert, renate stecher, carla bodendorf, marlies g?hr-oelsner	GDR	Athletics	1
brenda helser, thelma kalama, marie corridon, ann curtis	USA	Swimming	1
brenda jones	AUS	Athletics	1
brendan foster	GBR	Athletics	1
brendan hansen	USA	Swimming	3
brendan hansen, michael phelps, nathan adrian, matthew grevers	USA	Swimming	1
brent hayden	CAN	Swimming	1
brenton rickard	AUS	Swimming	1
brian diemer	USA	Athletics	1
brian goodell	USA	Swimming	2
brian job	USA	Swimming	1
brian peaker, dave boyes, gavin hassett, jeffrey lay	CAN	Rowing	1
bridgitte hartley	RSA	Canoeing	1
brigita bukovec	SLO	Athletics	1
brimin kiprop	KEN	Athletics	1
brimin kipruto	KEN	Athletics	1
britta oppelt, annekatrin thiele, carina baer, julia richter	GER	Rowing	1
britta oppelt, peggy waleska	GER	Rowing	1
britta steffen	GER	Swimming	2
britta steffen, meike freitag	GER	Swimming	1
bronislaw malinowski	POL	Athletics	2
bronte barratt	AUS	Swimming	1
bronte barratt, alicia coutts, kylie palmer, melanie schlanger	AUS	Swimming	1
brooke bennett	USA	Swimming	3
brooke hanson	AUS	Swimming	1
bruce furniss	USA	Swimming	1
bruce robertson	CAN	Swimming	1
bruno boni, felice fanetti	ITA	Rowing	1
bruno junk	URS	Athletics	1
bruno mascarenhas, lorenzo bertini, catello amarante, salvatore amitrano	ITA	Rowing	1
bud spencer, frederick alderman, george baird, raymond barbuti	USA	Athletics	1
buffy alexander, laryssa biesenthal, heather davis, alison korn, theresa luke, emma robinson, heather mcdermid, dorota urbaniak, lesley thompson	CAN	Rowing	1
buster crabbe	USA	Swimming	2
butch reynolds	USA	Athletics	1
cafaro, francia, lofgren, ritzel, musnicki, logan, lind, davies, whipple	USA	Rowing	1
caitlin leverenz	USA	Swimming	1
calvin davis	USA	Athletics	1
calvin smith	USA	Athletics	1
camelia potec	ROM	Swimming	1
cameron henning	CAN	Swimming	1
cameron van der burgh	RSA	Swimming	1
camille muffat	FRA	Swimming	2
caren metschuck	GDR	Swimming	2
caren metschuck, andrea pollack, ute geweniger, rica reinisch	GDR	Swimming	1
carina ljungdahl, agneta eriksson, tina gustafsson, agneta m?tensson	SWE	Swimming	1
carin cone	USA	Swimming	1
carin ter beek, pieta van dishoeck, eeke van nes, anneke venema, marieke westerhof, nelleke penninx, elien meijer, martijntje quik, tessa appeldoorn	NED	Rowing	1
carl kaufmann	GER	Athletics	1
carl lewis	USA	Athletics	4
carlo monti, michele tito, enrico perucconi, antonio siddi	ITA	Athletics	1
carlos mercenario	MEX	Athletics	1
carlos perez, saul craviotto	ESP	Canoeing	1
carlos sousa lopes	POR	Athletics	2
carl robie	USA	Swimming	2
carmela schmidt	GDR	Swimming	2
carmelita jeter	USA	Athletics	2
carola zirzow	GDR	Canoeing	1
carola zirzow, b?rbel k?ster	GDR	Canoeing	1
carolina evers-swindell, georgina evers-swindell	NZL	Rowing	2
caroline brunet	CAN	Canoeing	3
carolin martina leonhardt, katrin wagner-augustin, tina dietze, franziska weber	GER	Canoeing	1
carolyn schuler	USA	Swimming	1
carolyn schuler, chris von saltza, lynn burke, patty kempner	USA	Swimming	1
carrie steinseifer	USA	Swimming	1
carrie steinseifer, dara torres, nancy hogshead, jenna johnson	USA	Swimming	1
carsta gen?u?, martina bischof	GDR	Canoeing	1
caster semenya	RSA	Athletics	1
cate campbell	AUS	Swimming	1
cate campbell, alice mills, shayne reese, melanie schlanger, lisbeth trickett	AUS	Swimming	1
cate campbell, alicia coutts, melanie schlanger, brittany elmslie	AUS	Swimming	1
cath bishop, katherine grainger	GBR	Rowing	1
catherine carr	USA	Swimming	1
catherine fox, lisa jacob, angel martino, jenny thompson, melanie valerio, amy van dyken	USA	Swimming	1
catherine gibson	GBR	Swimming	1
catherine ndereba	KEN	Athletics	2
catherine plewinski	FRA	Swimming	2
catherine poirot	FRA	Swimming	1
cathleen rund	GER	Swimming	1
cathy ferguson	USA	Swimming	1
cathy freeman	AUS	Athletics	2
cecil healy	ANZ	Swimming	1
cecil healy	AUS	Swimming	1
cecil healy, leslie boardman, malcolm champion, harold hardwick	ANZ	Swimming	1
cerstin petersmann, dana pyritz, daniela neunast, judith zeidler, ute wagner-stange, annegret strauch, kathrin haacker, christiane harzendorf, sylvia d?rdelmann	GER	Rowing	1
cesar cielofilho	BRA	Swimming	2
cesar cielo filho	BRA	Swimming	1
cesare milani, enrico garzelli, guglielmo del bimbo, renato bracci, mario balleri, renato barbieri, dino barsotti, vittorio cioni, roberto vestrini	KIT	Rowing	1
chad le clos	RSA	Swimming	2
chandra cheeseborough	USA	Athletics	1
chandra cheeseborough, jeanette bolden, alice brown, evelyn ashford	USA	Athletics	1
chandra sturrup, sevatheda fynes, pauline davis-thompson, eldece clark	BAH	Athletics	1
charilaos vasilakos	GRE	Athletics	1
charles asati, hezekiah nyamau, robert ouko, julius sang	KEN	Athletics	1
charles bacon	USA	Athletics	1
charles bennett	GBR	Athletics	1
charles borah, jimmy quinn, frank wykoff, hank russell	USA	Athletics	1
charles burnell, raymond etherington-smith, henry bucknall, albert gladstone, gilchrist maclagen, banner johnstone, frederick kelly, guy nickalls, ronald sanderson	GBR	Rowing	1
charles chandler, james blair, david dunlap, norris graham, duncan gregg, winslow hall, harold tower, edwin salisbury, burton jastram	USA	Rowing	1
charles daniels	USA	Swimming	2
charles day, gordon adam, donald hume, george hunt, james mcmillin, bob moch, herbert morris, joseph rantz, john white	USA	Rowing	1
charles gmelin	GBR	Athletics	1
charles hefferon	SAF	Athletics	1
charles hickcox	USA	Swimming	3
charles hickcox, donald mckenzie, kenneth walsh, douglas russell	USA	Swimming	1
charles jenkins	USA	Athletics	1
charles lelong, pierre failliot, robert schurrer, charles poulenard	FRA	Athletics	1
charles moore	USA	Athletics	1
charles paddock	USA	Athletics	3
charles reidpath	USA	Athletics	1
charles spedding	GBR	Athletics	1
charlie greene	USA	Athletics	1
charlotte radcliffe, hilda james, constance jeans, grace mckenzie	GBR	Swimming	1
charmaine crooks, molly killingbeck, marita payne, jillian richardson	CAN	Athletics	1
cheryl gibson	CAN	Swimming	1
chester jastremski	USA	Swimming	1
chris brasher	GBR	Athletics	1
chris jacobs	USA	Swimming	1
chris jacobs, matt biondi, david berkoff, richard schroeder	USA	Swimming	1
chris mahoney, duncan mcdougall, malcolm mcgowan, colin moynihan, john pritchard, richard stanhope, john clay, andrew justice, allan whitwell	GBR	Rowing	1
christa stubnick	GER	Athletics	2
chris thompson	USA	Swimming	1
christiane huth, annekatrin thiele	GER	Rowing	1
christiane knacke	GDR	Swimming	1
christiane pielke, iris zscherpe, susanne schuster, karin seick	FRG	Swimming	1
christiane wartenberg	GDR	Athletics	1
christian gille, tomasz wylenzek	GER	Canoeing	3
