Athlete	CountryCode	Sport	Medals	Appearances
doina ignat, georgeta damian	ROM	Rowing	1	1
doina ignat, liliana gafencu, elena georgescu, georgeta damian, vera cochelea, maria magdalena dumitrache, elisabeta lipa, ioana olteanu, viorica susanu	ROM	Rowing	1	1
doina ignat, vera cochelea, anisoara dobre-balan, constanta burcica-pipota	ROM	Rowing	1	1
doina melinte	ROM	Athletics	2	1
domenico fioravanti	ITA	Swimming	2	1
donald boal, earl eastwood, harry fry, joseph harris, cedric liddell, george macdonald, albert taylor, william thoburn, stanley stanyar	CAN	Rowing	1	1
donald finlay	GBR	Athletics	2	2
donald lippincott	USA	Athletics	2	1
donald mckenzie	USA	Swimming	1	1
donald smith, gary macdonald, stephen pickell, clay evans	CAN	Swimming	1	1
dongxiang xu, wenyi huang	CHN	Rowing	1	1
donna de varona	USA	Swimming	1	1
donna de varona, kathleen ellis, sharon stouder, pokey watson	USA	Swimming	1	1
donna gurr	CAN	Swimming	1	1
donovan bailey	CAN	Athletics	1	1
don quarrie	JAM	Athletics	3	2
don schollander	USA	Swimming	3	2
don thompson	GBR	Athletics	1	1
dorian mortelette, benjamin rondeau, germain chardin, julien despr?s	FRA	Rowing	1	1
dorothy hyman	GBR	Athletics	2	1
dorothy manley	GBR	Athletics	1	1
douglas bennett	CAN	Canoeing	1	1
douglas gjertsen, troy dalbey, matt cetlinski, matt biondi	USA	Swimming	1	1
douglas lowe	GBR	Athletics	2	2
douglas northway	USA	Swimming	1	1
douglas russell	USA	Swimming	1	1
douglas wakiihuri	KEN	Athletics	1	1
dragos neagu, danut dobre	ROM	Rowing	1	1
drew ginn, duncan free	AUS	Rowing	1	1
drew ginn, james chapman, joshua dunkley-smith, william lockwood	AUS	Rowing	1	1
drew ginn, nicholas green, mike mckay, james tomkins	AUS	Rowing	1	1
dudley storey, dick tonks, noel mills, ross collinge	NZL	Rowing	1	1
duje draganja	CRO	Swimming	1	1
duke kahanamoku	USA	Swimming	3	3
duncan armstrong	AUS	Swimming	2	1
duncan free, janusz hooker, bo hanson, ron snook	AUS	Rowing	1	1
duncan goodhew	GBR	Swimming	1	1
duncan white	SRI	Athletics	1	1
dwayne evans	USA	Athletics	1	1
eamon sullivan	AUS	Swimming	1	1
earl eby	USA	Athletics	1	1
earl jones	USA	Athletics	1	1
earl thomson	CAN	Athletics	1	1
eckhard leue	GDR	Canoeing	1	1
ed coode, james cracknell, steve williams, matthew pinsent	GBR	Rowing	1	1
eddie hart, larry black, robert taylor, gerald tinker	USA	Athletics	1	1
eddie southern	USA	Athletics	1	1
eddie tolan	USA	Athletics	2	1
eddy ottoz	ITA	Athletics	1	1
edith mcguire	USA	Athletics	2	1
ed mckeever	GBR	Canoeing	1	1
ed moses	USA	Swimming	1	1
eduardo guerrero, tranquilo cappozzo	ARG	Rowing	1	1
eduardo risso	URU	Rowing	1	1
edvin wide	SWE	Athletics	4	2
edward lindberg	USA	Athletics	1	1
edwin moses	USA	Athletics	3	3
edwin roberts	TRI	Athletics	1	1
edwin soi	KEN	Athletics	1	1
eeke van nes, pieta van dishoeck	NED	Rowing	1	1
eero berg	FIN	Athletics	1	1
egil s?by, jan johansen, steinar amundsen, tore berger	NOR	Canoeing	1	1
egil s?by, steinar amundsen, tore berger, jan johansen	NOR	Canoeing	1	1
egon drews, wilfried soltau	GER	Canoeing	1	1
eino purje-borg	FIN	Athletics	1	1
eirik larsen	NOR	Canoeing	2	2
eirik veraas larsen	NOR	Canoeing	1	1
ejigayehu dibaba	ETH	Athletics	1	1
ekaterina karsten	BLR	Rowing	1	1
ekaterina poistogova	RUS	Athletics	1	1
ekaterini thanou	GRE	Athletics	1	1
elaine tanner	CAN	Swimming	2	1
elaine tanner, marion lay, marilyn corson, angela coughlan	CAN	Swimming	1	1
elana meyer	RSA	Athletics	1	1
eleanor garatti-saville	USA	Swimming	2	2
eleanor holm	USA	Swimming	1	1
elena lashmanova	RUS	Athletics	1	1
elfi zinn	GDR	Athletics	1	1
elia luini, leonardo pettinari	ITA	Rowing	1	1
elias katz	FIN	Athletics	1	1
elio ragni, orazio mariani, tullio gonnelli, gianni caldana	KIT	Athletics	1	1
elisabeta lipa	ROM	Rowing	1	1
elisabeta lipa, vera cochelea	ROM	Rowing	1	1
elisabeta lipa, vera cochelea, anisoara dobre-balan	ROM	Rowing	1	1
elisa rigaudo	ITA	Athletics	1	1
elise laverick, anna bebington	GBR	Rowing	1	1
eliud kipchoge	KEN	Athletics	2	2
elizabeth beisel	USA	Swimming	2	1
elizabeth davies	GBR	Swimming	1	1
elizabeth mccolgan	GBR	Athletics	1	1
elizabeth robinson	USA	Athletics	1	1
elizabeth wagstaff, nicole haislett, megan kleine, crissy ahmann-leighton, jenny thompson, summer sanders, anita nall, lea loveless	USA	Swimming	1	1
elke sehmisch, gabriele wetzko, kornelia ender, andrea eife	GDR	Swimming	1	1
ellen fiedler	GDR	Athletics	1	1
ellen king	GBR	Swimming	1	1
ellen king, joyce cooper, cissie stewart, vera tanner	GBR	Swimming	1	1
ellen streidt	GDR	Athletics	1	1
ellen van langen	NED	Athletics	1	1
ellie daniel	USA	Swimming	3	2
ellie daniel, catie ball, kaye hall, susan pedersen	USA	Swimming	1	1
elliott bunney, linford christie, mike mcfarlane, john regis	GBR	Athletics	1	1
elodie ouedraogo, hanna marien, olivia borlee, kim gevaert	BEL	Athletics	1	1
else jacobsen	DEN	Swimming	1	1
elvan abeylegesse	TUR	Athletics	2	1
elvira vasilkova	URS	Swimming	1	1
emanuele merisi	ITA	Swimming	1	1
emanuel silva, fernando piment	POR	Canoeing	1	1
emiel puttemans	BEL	Athletics	1	1
emil breitkreutz	USA	Athletics	1	1
emile champion	FRA	Athletics	1	1
emilio lunghi	KIT	Athletics	1	1
emily seebohm	AUS	Swimming	1	1
emily silver, julia smit, dara torres, kara lynn joyce, lacey nymeyer, natalie coughlin	USA	Swimming	1	1
emil z?topek	CZE	Athletics	5	2
emmanuel bailey	GBR	Athletics	1	1
enith brigitha	NED	Swimming	2	1
enrique figuerola	CUB	Athletics	1	1
enrique figuerola, hermes ramirez, pablo montes, juan morales	CUB	Athletics	1	1
eric fish, robert kasting, william mahony, bruce robertson	CAN	Swimming	1	1
erich borchmeyer, erwin gillmeister, wilhelm leichum, gerd hornberger	GER	Athletics	1	1
erich borchmeyer, helmuth k?rnig, arthur jonath, fritz hendrix	GER	Athletics	1	1
erich koschik	GER	Canoeing	1	1
erich rademacher	GER	Swimming	1	1
erick barrondo	GUA	Athletics	1	1
erick wainaina	KEN	Athletics	2	2
eric liddell	GBR	Athletics	2	1
eric murray, hamish bond	NZL	Rowing	1	1
eric namesnik	USA	Swimming	2	2
eric verdonk	NZL	Rowing	1	1
erik backman	SWE	Athletics	1	1
erik byl?hn	SWE	Athletics	1	1
erik christiansen, lars nielsen, per rasmussen, michael jessen	DEN	Rowing	1	1
erik elms?ter	SWE	Athletics	1	1
erik hansen	DEN	Canoeing	2	2
erik vendt	USA	Swimming	2	2
erkka wil?n	FIN	Athletics	1	1
erminio dones, pietro annoni	KIT	Rowing	1	1
ernesto ambrosini	KIT	Athletics	1	1
ernesto canto	MEX	Athletics	1	1
ernie harper	GBR	Athletics	1	1
ernst fast	SWE	Athletics	1	1
ernst hoppenberg	DEU	Swimming	1	1
ernst schultz	DEN	Athletics	1	1
ervin hall	USA	Athletics	1	1
erwin sietas	GER	Swimming	1	1
erzsebet viski, kinga bota, katalin kovacs, szilvia szabo	HUN	Canoeing	1	1
eshetu tura	ETH	Athletics	1	1
eskild ebbesen, kasper winther, jacob barsoe, morten jorgensen	DEN	Rowing	1	1
eskild ebbesen, thomas ebert, victor feddersen, soren madsen	DEN	Rowing	1	1
ethelda bleibtrey	USA	Swimming	1	1
ethel lackie	USA	Swimming	1	1
ethel smith	CAN	Athletics	1	1
etienne dagon	SUI	Swimming	1	1
etienne gailly	BEL	Athletics	1	1
euphrasia donnelly, ethel lackie, gertrude ederle, mariechen wehselau	USA	Swimming	1	1
eva-maria ten elsen	GER	Swimming	1	1
eva risztov	HUN	Swimming	1	1
evelyn ashford	USA	Athletics	2	2
evelyn kawamoto	USA	Swimming	1	1
evelyn kawamoto, joan alderson, marilee stepan, jacqueline lavine	USA	Swimming	1	1
everard butler	CAN	Rowing	1	1
evgeny korotyshkin	RUS	Swimming	1	1
evgeny lagunov, nikita lobintsev, mikhail polishchuk, danila izotov, alexander sukhorukov	RUS	Swimming	1	1
ewa klobukowska	POL	Athletics	1	1
ewa klobukowska, halina g?recka-richter, teresa ciepla, irena szewinska	POL	Athletics	1	1
ezekiel kemboi	KEN	Athletics	2	2
fabien gilot, amaury leveaux, clement lefert, yannick agnel	FRA	Swimming	1	1
faith leech	AUS	Swimming	1	1
falilat ogunkoya	NGR	Athletics	1	1
fani halkia	GRE	Athletics	1	1
fanny blankers-koen	NED	Athletics	2	1
fanny durack	ANZ	Swimming	1	1
fanny rosenfeld	CAN	Athletics	1	1
fatuma roba	ETH	Athletics	1	1
fay moulton	USA	Athletics	1	1
federica pellegrini	ITA	Swimming	2	2
felipe m??oz	MEX	Swimming	1	1
felix sanchez	DOM	Athletics	2	2
ferenc csik	HUN	Swimming	1	1
ferenc moh?csi, k?roly wieland	HUN	Canoeing	1	1
ferenc novak, imre pulai	HUN	Canoeing	1	1
fermin cacho	ESP	Athletics	2	2
fernanda ribeiro	POR	Athletics	2	2
fernando scherer	BRA	Swimming	1	1
fie udby erichsen	DEN	Rowing	1	1
filbert bayi	TAN	Athletics	1	1
filippo soffici, alessandro corona, gianluca farina, rossano galtarossa	ITA	Rowing	1	1
fita bayissa	ETH	Athletics	1	1
fita lovin	ROM	Athletics	1	1
florence griffith-joyner	USA	Athletics	3	2
florent manaudou	FRA	Swimming	1	1
florian schwarthoff	GER	Athletics	1	1
florin popescu, mitica pricop	ROM	Canoeing	1	1
ford konno	USA	Swimming	2	1
ford konno, james mclane, wayne moore, william woolsey	USA	Swimming	1	1
forrest smithson	USA	Athletics	1	1
forrest towns	USA	Athletics	1	1
foy draper, ralph metcalfe, jesse owens, frank wykoff	USA	Athletics	1	1
francesco cossu, giliante d'este, antonio ghiardello, antonio garzoni provenzani	KIT	Rowing	1	1
francesco la macchia, aldo dezzi	ITA	Canoeing	1	1
frances schroth	USA	Swimming	1	1
frances schroth, ethelda bleibtrey, irene guest, margaret woodbridge	USA	Swimming	1	1
francine fox, glorianne perrier	USA	Canoeing	1	1
francis amyot	CAN	Canoeing	1	1
francisco javier fernandez	ESP	Athletics	1	1
francis hegerty, matthew ryan, james marburg, cameron mckenzie-mcharg	AUS	Rowing	1	1
francis kerbiriou, gilles bertould, jacques carette, roger v?lasquez	FRA	Athletics	1	1
francis lane	USA	Athletics	1	1
francis obikwelu	POR	Athletics	1	1
franjo mihalic	YUG	Athletics	1	1
frank baltrusch	GDR	Swimming	1	1
frank baumgartl	GDR	Athletics	1	1
frank beaurepaire	ANZ	Swimming	2	3
frank beaurepaire	AUS	Swimming	2	3
frank beaurepaire, william herald, henry hay, ivan stedman	AUS	Swimming	1	1
frank cuhel	USA	Athletics	1	1
frank esposito	FRA	Swimming	1	1
frank forberger, dieter grahn, dieter schubert, frank r?hle	GDR	Rowing	1	1
frank greer	USA	Rowing	1	1
frank hansen, svein th?gersen	NOR	Rowing	1	1
frankie fredericks	NAM	Athletics	4	2
frank jarvis	USA	Athletics	1	1
frank loomis	USA	Athletics	1	1
frank mckinney	USA	Swimming	2	2
frank mckinney, lance larson, jeffrey farrell, paul hait	USA	Swimming	1	1
frank pf?tze, detlev grabs, rainer strohbach, j?rg woithe	GDR	Swimming	1	1
frank saker, harvey charters	CAN	Canoeing	1	1
frank schaffer	GDR	Athletics	1	1
frank shorter	USA	Athletics	2	2
frank waller	USA	Athletics	2	1
frank wiegand	GER	Swimming	1	1
frank wiegand, roland matthes, eugen henninger, horst-g?nter gregor	GDR	Swimming	1	1
franziska van almsick	GER	Swimming	3	2
franziska van almsick, hannah stockbauer, antje buschschulte, petra dallmann, janina g?tz	GER	Swimming	1	1
franziska van almsick, sandra v?lker, simone osygus, kerstin kielga?, dagmar hase, meike freitag	GER	Swimming	1	1
fr?d?ric delcourt	FRA	Swimming	1	1
fred deburghgraeve	BEL	Swimming	1	1
freddie lane	AUS	Swimming	1	1
frederica van der goes, rhoda rennie, kathleen russell, marie bedford	SAF	Swimming	1	1
frederick murray	USA	Athletics	1	1
frederick pollard	USA	Athletics	1	1
frederick schule	USA	Athletics	1	1
frederick tyler, mark spitz, john kinsella, steven genter	USA	Swimming	1	1
fred holman	GBR	Swimming	1	1
fred kelly	USA	Athletics	1	1
fred moloney	USA	Athletics	1	1
fred newhouse	USA	Athletics	1	1
fred newhouse, maxie parks, benjamin brown, herman frazier	USA	Athletics	1	1
fred onyancha	KEN	Athletics	1	1
fred schmidt	USA	Swimming	1	1
fred schmidt, harold mann, steve clark, william craig	USA	Swimming	1	1
friedhelm wentzke, berni schulze, g?nter perleberg, holger zander	GER	Canoeing	1	1
fritz bondroit, ewald tilker	GER	Canoeing	1	1
fritz hofmann	DEU	Athletics	1	1
fritzi schwingl	AUT	Canoeing	1	1
gabi m?ller, sabine eichenberger, ingrid haralamow, daniela baumer	SUI	Canoeing	1	1
gabriela szabo	ROM	Athletics	3	2
gabriella dorio	ITA	Athletics	1	1
gabriella szab?, katalin kov?cs, danuta koz?k, natasa janics	HUN	Canoeing	1	1
gabriel tiacoh	CIV	Athletics	1	1
gail devers	USA	Athletics	2	2
gail neall	AUS	Swimming	1	1
galen rupp	USA	Athletics	1	1
galina alekseyeva-kreft, nina trofimova-gopova	URS	Canoeing	1	1
galina bukharina, lyudmila samotesova, vera popkova, lyudmila maslakova	URS	Athletics	1	1
galina malchugina, lyudmila kondratyeva, natalya pomoshchnikova, marina zhirova	URS	Athletics	1	1
galina stepanova-prozumenshchykova	URS	Swimming	5	3
gamze bulut	TUR	Athletics	1	1
garth manton, michael aikman, adrian monger, harold hewitt, james howden, walter howell, bryan doyle, angus benfield, david boykett	AUS	Rowing	1	1
gary chapman	AUS	Swimming	1	1
gary dilley	USA	Swimming	1	1
gary gullock, paul reedy, anthony lovrich, timothy mclaren	AUS	Rowing	1	1
gary hall	USA	Swimming	3	3
gary hall jr.	USA	Swimming	5	3
gary hall jr., ian crocker, nate dusing, jason lezak, michael phelps, gabe woodward, neil walker	USA	Swimming	1	1
gary ilman, don schollander, michael austin, steve clark	USA	Swimming	1	1
gary oakes	GBR	Athletics	1	1
gaston delaplane	FRA	Rowing	1	1
gaston giran, alfred pl?	FRA	Rowing	1	1
gaston godel	SUI	Athletics	1	1
gaston mercier, yves delacour, guy guillabert, ren? guissart	FRA	Rowing	1	1
gaston reiff	BEL	Athletics	1	1
gaston roelants	BEL	Athletics	1	1
gaston strobino	USA	Athletics	1	1
geert jan derksen, gerritjan eggenkamp, jan-willem gabriels, chun wei cheung, michiel bartman, matthijs vellenga, gijs vermeulen, diederik simon, daniel mensch	NED	Rowing	1	1
geertje wielema	NED	Swimming	1	1
gelindo bordin	ITA	Athletics	1	1
gennady bukarin	URS	Canoeing	1	1
gennady korshikov, aleksandr timoshinin	URS	Rowing	1	1
gennady prigoda	URS	Swimming	1	1
geoff huegill	AUS	Swimming	1	1
geoff stewart, james stewart, ben dodwell, bo hanson	AUS	Rowing	1	1
george bovell	TRI	Swimming	1	1
george breen	USA	Swimming	3	2
george breen, richard hanley, ford konno, william woolsey	USA	Swimming	1	1
george bridgewater, nathan twaddle	NZL	Rowing	1	1
george dicarlo	USA	Swimming	2	1
george dietz, august erker, albert nasse, arthur stockhoff	USA	Rowing	1	1
george harrison, richard blick, jeffrey farrell, michael troy	USA	Swimming	1	1
george hodgson	CAN	Swimming	2	1
george hungerford, roger jackson	CAN	Rowing	1	1
george hutson	GBR	Athletics	1	1
george kerr	BWI	Athletics	1	1
george kerr, keith gardner, james wedderburn, malcolm spence	BWI	Athletics	1	1
george kojac	USA	Swimming	1	1
george mackay, archibald black, colin finlayson, william wood	CAN	Rowing	1	1
george nash, william satch	GBR	Rowing	1	1
george orton	CAN	Athletics	1	1
george poage	USA	Athletics	1	1
george rhoden	JAM	Athletics	1	1
george rhoden, arthur wint, herb mckenley, leslie laing	JAM	Athletics	1	1
george saling	USA	Athletics	1	1
georges dransart, georges gandil	FRA	Canoeing	1	1
george simpson	USA	Athletics	1	1
georges piot, maurice bouton	FRA	Rowing	1	1
georges vallerey	FRA	Swimming	1	1
georgeta damian, viorica susanu	ROM	Rowing	1	1
george vernot	CAN	Swimming	2	1
george young	USA	Athletics	1	1
georgina bardach	ARG	Swimming	1	1
georg lammers	GER	Athletics	1	1
georgy prokopenko	URS	Swimming	1	1
gerald ashworth, paul drayton, bob hayes, richard stebbins	USA	Athletics	1	1
gerard nijboer	NED	Athletics	1	1
gerhard boetzelen, herbert buhtz	GER	Rowing	1	1
gerhard hennige	FRG	Athletics	1	1
gerhard hetz	GER	Swimming	1	1
gerhard hetz, hans-joachim klein, uwe jacobsen, horst-g?nter gregor, frank wiegand	GER	Swimming	1	1
germain chardin, dorian mortelette	FRA	Rowing	1	1
gert fredriksson	SWE	Canoeing	4	4
gert fredriksson, sven-olof sj?delius	SWE	Canoeing	1	1
gertrude ederle	USA	Swimming	2	1
gertrude liebhart	AUT	Canoeing	1	1
gete wami	ETH	Athletics	3	2
gezahgne abera	ETH	Athletics	1	1
gheorghe simionov, gheorghe danilov	ROM	Canoeing	1	1
giancarlo crosta, renato bosatta, tullio baraglia, giuseppe galante	ITA	Rowing	1	1
gilbert bozon	FRA	Swimming	1	1
giovanni calabrese, nicola sartori	ITA	Rowing	1	1
giovanni de benedictis	ITA	Athletics	1	1
gisela arendt	GER	Swimming	1	1
giuseppe moioli, elio morille, giovanni invernizzi, franco faggi	ITA	Rowing	1	1
giuseppina leone	ITA	Athletics	1	1
gladys carson	GBR	Swimming	1	1
glen housman	AUS	Swimming	1	1
glenn beringen	AUS	Swimming	1	1
glenn buchanan	SUR	Swimming	1	1
glenn cunningham	USA	Athletics	1	1
glenn davis	USA	Athletics	2	2
glenn davis, otis davis, jack yerman, earl young	USA	Athletics	1	1
glenn hardin	USA	Athletics	2	2
glenroy gilbert, robert esmie, donovan bailey, bruny surin	CAN	Athletics	1	1
gloria siebert	GDR	Athletics	1	1
glory alozie	NGR	Athletics	1	1
?gnes kov?cs	HUN	Swimming	2	2
g?nther pfaff, gerhard seibold	AUT	Canoeing	1	1
godfrey brown	GBR	Athletics	1	1
godfrey brown, godfrey rampling, william roberts, freddie wolff	GBR	Athletics	1	1
gordon pirie	GBR	Athletics	1	1
gottfried kottmann	SUI	Rowing	1	1
grace jackson	JAM	Athletics	1	1
graeme brewer	AUS	Swimming	1	1
graeme smith	GBR	Swimming	1	1
graham windeatt	AUS	Swimming	1	1
g?ran larsson	SWE	Swimming	1	1
grant davies	AUS	Canoeing	1	1
grant hackett	AUS	Swimming	4	3
grant hackett, michael klim, todd pearson, antony matkovich, nicholas sprenger, craig stevens, ian thorpe	AUS	Swimming	1	1
grant hackett, nick ffrost, leith brodie, grant brits, patrick murphy, kirk palmer	AUS	Swimming	1	1
grantley goulding	GBR	Athletics	1	1
g?rard blitz	BEL	Swimming	1	1
gratsian botev, pavel kharin	URS	Canoeing	1	1
greg barton	USA	Canoeing	3	3
greg barton, norman bellingham	USA	Canoeing	1	1
greg foster	USA	Athletics	1	1
greg haughton	JAM	Athletics	1	1
gregor hradetzky	AUT	Canoeing	1	1
gregory brough	AUS	Swimming	1	1
gregory buckingham	USA	Swimming	1	1
gregory burgess	USA	Swimming	1	1
gregory fasala, michael delany, neil brooks, mark stockwell	AUS	Swimming	1	1
gregory rogers, robert windle, graham white, michael wenden	AUS	Swimming	1	1
greta andersen	DEN	Swimming	1	1
greta andersen, fritze carstensen-nathansen, karen harup, eva riise-arndt	DEN	Swimming	1	1
grete waitz	NOR	Athletics	1	1
grigore obreja, gheorghe andriev	ROM	Canoeing	1	1
grzegorz kotowicz, dariusz bialkowski	POL	Canoeing	1	1
g?te hagstr?m	SWE	Athletics	1	1
guanliang meng, wenjun yang	CHN	Canoeing	1	1
gudrun beckmann, jutta weber, heidemarie reineck, angela steinbach	FRG	Swimming	1	1
gudrun wegner	GDR	Swimming	1	1
guillaume leblanc	CAN	Athletics	1	1
guillermo del riego, herminio men?ndez	ESP	Canoeing	1	1
guillermo douglas	URU	Rowing	1	1
gunhild hoffmeister	GDR	Athletics	3	2
gunnar h?ckert	FIN	Athletics	1	1
gunnar larsson	SWE	Swimming	2	1
gunnar olsson, karl sundqvist	SWE	Canoeing	1	1
gunnar utterberg, sven-olof sj?delius	SWE	Canoeing	1	1
gustav jansson	SWE	Athletics	1	1
gustavo fran?a borges	BRA	Swimming	3	2
gustavo fran?a borges, carlos jayme, fernando scherer, edvaldo silva filho	BRA	Swimming	1	1
gustav sch?fer	GER	Rowing	1	1
guy butler	GBR	Athletics	2	2
guy butler, edward toms, george renwick, richard ripley, cecil griffiths, robert lindsay, john ainsworth-davis, guy butler	GBR	Athletics	1	1
guy drut	FRA	Athletics	2	2
gwendoline porter, eileen hiscock, nellie halstead, violet webb	GBR	Athletics	1	1
gwen torrence	USA	Athletics	2	2
gwen torrence, carlette guidry, esther jones, evelyn ashford	USA	Athletics	1	1
gyorgy kozmann, gy?rgy kolonics	HUN	Canoeing	1	1
gy?rgy kolonics	HUN	Canoeing	1	1
gy?rgy mitr?	HUN	Swimming	1	1
gy?rgy mitr?, imre ny?ki, g?za k?das, elem?r szathm?ry	HUN	Swimming	1	1
gy?rgy m?sz?ros, andr?s szente	HUN	Canoeing	1	1
gy?rgy sarl?s, antal melis, zolt?n melis, j?zsef csermely	HUN	Rowing	1	1
gy?rgy tumpek	HUN	Swimming	1	1
gy?rgy zala	HUN	Canoeing	2	2
gyula kellner	HUN	Athletics	1	1
gyula petrikovics, tam?s wichmann	HUN	Canoeing	1	1
g?za csap?	HUN	Canoeing	2	2
g?za k?das	HUN	Swimming	1	1
habiba ghribi	TUN	Athletics	1	1
hadi souan somayli	KSA	Athletics	1	1
haile gebrselassie	ETH	Athletics	2	2
haley anderson	USA	Swimming	1	1
halimat ismaila, franca idoko, gloria kemasuode, oludamola osayomi, agnes osazuwa	NGR	Athletics	1	1
halina g?recka-richter, teresa ciepla, barbara janiszewska, celina jesionowska	POL	Athletics	1	1
hannelore anke	GDR	Swimming	1	1
hannes kolehmainen	FIN	Athletics	3	2
hanns braun	DEU	Athletics	2	2
hanny termeulen	NED	Swimming	1	1
hanny termeulen, koosje van voorn, marie-louise linssen-vaessen, irma heijting-schuhmacher	NED	Swimming	1	1
hans berglund, lennart klingstr?m	SWE	Canoeing	1	1
hans dam	DEN	Swimming	1	1
hans fa?nacht, werner lampe, hans-g?nter vosseler, klaus steinbach	FRG	Swimming	1	1
hans-georg reimann	GDR	Athletics	2	2
hans grodotzki	GER	Athletics	2	1
hans-joachim hannemann, heinz kaufmann, hans kuschke, herbert schmidt, werner loeckle, wilhelm mahlow, helmut radach, alfred rieck, gerd v?ls	GER	Rowing	1	1
hans-joachim klein	GER	Swimming	1	1
hans-joachim klein, horst l?ffler, frank wiegand	GER	Swimming	1	1
hansj?rg kunze	GDR	Athletics	1	1
hans kalt, josef kalt	SUI	Rowing	1	1
hans kalt, kurt schmid	SUI	Rowing	1	1
hansle parchment	JAM	Athletics	1	1
hans magnus grepperud, sverre l?ken	NOR	Rowing	1	1
hans maier, karl aletter, walter flinsch, ernst gaber	GER	Rowing	1	1
hanson, viinberg, guloien, wilkinson, mastracci, brzozowicz, marquardt, morin, thompson-willie	CAN	Rowing	1	1
hans sennewald, thorsten streppelhoff, bahne rabe, frank richter, detlef kirchhoff, manfred klein, armin eichholz, roland baar, ansgar wessling	GER	Rowing	1	1
hans walter, emile albrecht, alfred probst, eugen sigg-b?chthold	SUI	Rowing	1	1
harald julin	SWE	Swimming	1	1
harald norpoth	GER	Athletics	1	1
harald schmid	FRG	Athletics	1	1
harald schmid, lothar krieg, bernd herrmann, franz-peter hofmeister	FRG	Athletics	1	1
harold abrahams	GBR	Athletics	1	1
harold barker, john fenning, philip filleul, gordon thomson, albertus wielsma, geoffrey taylor, hermanus h?fte, charles riddy, becher robert gale, bernardus croon, gordon balfour, johan burk	NED	Rowing	1	1
harold barron	USA	Athletics	1	1
harold hardwick	ANZ	Swimming	2	1
harold west, arthur sulley, guy nickalls, gordon killick, harold lane, jack beresford, john badcock, donald gollan, james hamilton	GBR	Rowing	1	1
harold whitlock	GBR	Athletics	1	1
harold wilson	GBR	Athletics	1	1
harrison dillard	USA	Athletics	2	2
harrison dillard, barney ewell, melvin patton, lorenzo wright	USA	Athletics	1	1
harrison dillard, lindy remigino, andy stanfield, dean smith	USA	Athletics	1	1
harry blackstaffe	GBR	Rowing	1	1
harry davel, bevil rudd, clarence oldfield, jack oosterlaak	SAF	Athletics	1	1
harry edward	GBR	Athletics	2	1
harry hebner	USA	Swimming	1	1
harry hebner, ken huszagh, perry mcgillivray, duke kahanamoku	USA	Swimming	1	1
harry hillman	USA	Athletics	3	2
harry jerome	CAN	Athletics	1	1
harry larva	FIN	Athletics	1	1
harry lott, frank schell, louis abell, michael gleason, john exley, james flanagan, frederick cresser, joseph dempsey, charles armstrong	USA	Rowing	1	1
hartwig gauder	GDR	Athletics	2	2
harvey glance, millard hampton, john jones, steven riddick	USA	Athletics	1	1
hasely crawford	TRI	Athletics	1	1
hasna benhassi	MAR	Athletics	2	2
hassiba boulmerka	ALG	Athletics	1	1
hayden stoeckel	AUS	Swimming	1	1
hayes jones	USA	Athletics	2	2
hayley lewis	AUS	Swimming	2	1
heather armitage, june foulds-paul, anne pashley, jean scrivens	GBR	Athletics	1	1
heather hunte, sonia lannaman, beverley goddard-callender, kathryn smallwood-cook	GBR	Athletics	1	1
heather stanning, helen glover	GBR	Rowing	1	1
hec hogan	AUS	Athletics	1	1
heidemarie reineck, silke pielen, gudrun beckmann, vreni eberle	FRG	Swimming	1	1
heidemarie reineck, uta frommater, angelika kraus, heike hustede	FRG	Swimming	1	1
heide rosendahl, annegret richter, christiane krause, ingrid mickler-becker	FRG	Athletics	1	1
heike d?hne	GDR	Swimming	1	1
heike drechsler	GDR	Athletics	2	1
heike friedrich	GDR	Swimming	2	1
heike schulte-mattler, ute thimm, heide-elke gaugel, gaby bu?mann	FRG	Athletics	1	1
heini thoma, rudolf bosshard	SUI	Rowing	1	1
heinz b?ker, holger zander	GER	Canoeing	1	1
heinz ulzheimer	GER	Athletics	1	1
heinz ulzheimer, g?nther steines, hans geister, karl-friedrich haas	GER	Athletics	1	1
helene madison	USA	Swimming	2	1
helen gordon	GBR	Swimming	1	1
helen johns, eleanor garatti-saville, helene madison, josephine mckim	USA	Swimming	1	1
helen stephens	USA	Athletics	1	1
helen stephens, annette rogers, elizabeth robinson, harriet bland	USA	Athletics	1	1
helen varcoe, edna hughes, joyce cooper, elizabeth davies	GBR	Swimming	1	1
helen wainwright	USA	Swimming	1	1
helga klein, ursula knab, marie sander, marga petersen	GER	Athletics	1	1
helga lindner	GDR	Swimming	1	1
helge halkj?r, aksel hansen, ib storm larsen, helge schr?der	DEN	Rowing	1	1
helmut c?mmerer	GER	Canoeing	1	1
helmuth k?rnig	GER	Athletics	1	1
henk-jan zwolle, nico rienks	NED	Rowing	1	1
henning jakobsen	DEN	Canoeing	2	1
henri barrelet	FRA	Rowing	1	1
henri deloge	FRA	Athletics	1	1
henri eberhardt	FRA	Canoeing	1	1
henri jan wienese	NED	Rowing	1	1
henrik nilsson, markus oscarsson	SWE	Canoeing	2	2
henri tauzin	FRA	Athletics	1	1
henry carr	USA	Athletics	1	1
henry eriksson	SWE	Athletics	1	1
henry jonsson	SWE	Athletics	1	1
