actual,staff,matched_to,sim,correct
brevan_howard,Professor Franklin Allen,health_mgmt,0.0413793103448,False
brevan_howard,Professor Douglas Gale,health_mgmt,0.0363636363636,False
centre_for_management_buy_out_research,"Wright, Mike Professor",centre_for_management_buy_out_research,0.0630630630631,True
enterprise_research_centre,"Wright, Mike Professor",centre_for_management_buy_out_research,0.0630630630631,False
centre_for_management_buy_out_research,"Ball, Rod",brevan_howard,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",centre_for_management_buy_out_research,0.0,True
centre_for_management_buy_out_research,"Ball, Rod",digital_city_exchange,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",energy_business_research,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",enterprise_research_centre,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",ghandi_centre,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",global_finance_tech,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",health_mgmt,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",hedge_funds,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",kpmg,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",risk_mgmt,0.0,False
energy_business_research,"Autio, Erkko Prof ",ghandi_centre,0.0989010989011,False
energy_business_research,"Biffis, Enrico, Dr",risk_mgmt,0.0823529411765,False
hedge_funds,"Biffis, Enrico, Dr",risk_mgmt,0.0823529411765,False
risk_mgmt,"Biffis, Enrico, Dr",risk_mgmt,0.0823529411765,True
energy_business_research,"Della Corte, Pasquale Dr",hedge_funds,0.0425531914894,False
hedge_funds,"Della Corte, Pasquale Dr",hedge_funds,0.0425531914894,True
risk_mgmt,"Della Corte, Pasquale Dr",hedge_funds,0.0425531914894,False
energy_business_research,"Distaso, Walter Dr",ghandi_centre,0.064,False
hedge_funds,"Distaso, Walter Dr",ghandi_centre,0.064,False
risk_mgmt,"Distaso, Walter Dr",ghandi_centre,0.064,False
energy_business_research,"Green, Richard Prof",health_mgmt,0.0833333333333,False
ghandi_centre,"Green, Richard Prof",health_mgmt,0.0833333333333,False
energy_business_research,"Kosowski, Robert Dr ",enterprise_research_centre,0.0609756097561,False
hedge_funds,"Kosowski, Robert Dr ",enterprise_research_centre,0.0609756097561,False
risk_mgmt,"Kosowski, Robert Dr ",enterprise_research_centre,0.0609756097561,False
energy_business_research,"Martin, Ralf Dr",enterprise_research_centre,0.0526315789474,False
energy_business_research,"Ozaki, Ritsuko Dr",energy_business_research,0.0940170940171,True
energy_business_research,"Smith, Keith Dr",health_mgmt,0.0838323353293,False
energy_business_research,"Wiesemann, Wolfram Dr",brevan_howard,0.0408163265306,False
energy_business_research,"Wiesemann, Wolfram Dr",health_mgmt,0.0408163265306,False
kpmg,"Wiesemann, Wolfram Dr",brevan_howard,0.0408163265306,False
kpmg,"Wiesemann, Wolfram Dr",health_mgmt,0.0408163265306,False
global_finance_tech,Andrei Kirilenko,global_finance_tech,0.0632911392405,True
health_mgmt,"Barlow, James Prof",health_mgmt,0.0934065934066,True
health_mgmt,"Cox, Benita Dr",health_mgmt,0.0958083832335,True
health_mgmt,"Miraldo, Marisa Dr",brevan_howard,0.0724637681159,False
kpmg,"Miraldo, Marisa Dr",brevan_howard,0.0724637681159,False
ghandi_centre,"Miraldo, Marisa Dr",brevan_howard,0.0724637681159,False
health_mgmt,"de Preux, Laure Dr",energy_business_research,0.0769230769231,False
health_mgmt,"Propper,",health_mgmt,0.102150537634,True
health_mgmt,"Smith, Peter C Professor",health_mgmt,0.0764705882353,True
health_mgmt,Eliana Barrenho,health_mgmt,0.041095890411,True
hedge_funds,"Cathcart, Lara Dr",brevan_howard,0.0535714285714,False
risk_mgmt,"Cathcart, Lara Dr",brevan_howard,0.0535714285714,False
hedge_funds,"Sefton, James Prof",health_mgmt,0.0429447852761,False
risk_mgmt,"Sefton, James Prof",health_mgmt,0.0429447852761,False
hedge_funds,"Zaffaroni, Paolo Dr",hedge_funds,0.0637254901961,True
risk_mgmt,"Zaffaroni, Paolo Dr",hedge_funds,0.0637254901961,False
hedge_funds,"Abadir, Karim Prof",global_finance_tech,0.0294117647059,False
risk_mgmt,"Abadir, Karim Prof",global_finance_tech,0.0294117647059,False
hedge_funds,"Buraschi, Andrea Prof",hedge_funds,0.0290237467018,True
risk_mgmt,"Buraschi, Andrea Prof",hedge_funds,0.0290237467018,False
hedge_funds,"Chemla, Gilles Dr",centre_for_management_buy_out_research,0.0805369127517,False
risk_mgmt,"Chemla, Gilles Dr",centre_for_management_buy_out_research,0.0805369127517,False
hedge_funds,"Tinn, Katrin Dr",ghandi_centre,0.0526315789474,False
risk_mgmt,"Tinn, Katrin Dr",ghandi_centre,0.0526315789474,False
hedge_funds,Dr Petri Jylha,brevan_howard,0.0816326530612,False
risk_mgmt,Dr Petri Jylha,brevan_howard,0.0816326530612,False
hedge_funds,Professor Rustam Ibragimov,global_finance_tech,0.0337078651685,False
risk_mgmt,Professor Rustam Ibragimov,global_finance_tech,0.0337078651685,False
digital_city_exchange,"Gann, David Prof",health_mgmt,0.0541871921182,False
kpmg,"Kennedy, Mark Dr",kpmg,0.0764119601329,True
kpmg,"Haskel, Jonathan Professor",enterprise_research_centre,0.0816326530612,False
kpmg,"Talluri, Kalyan Professor",kpmg,0.031914893617,True
ghandi_centre,"Talluri, Kalyan Professor",kpmg,0.031914893617,False
kpmg,"Sismeiro, Catarina Dr",ghandi_centre,0.063829787234,False
ghandi_centre,"Chaturvedi, Sankalp Dr",health_mgmt,0.0478723404255,False
ghandi_centre,Andreas Eisingerich,health_mgmt,0.0810810810811,False
ghandi_centre,"Malhotra, Namrata Dr",risk_mgmt,0.0897435897436,False
ghandi_centre,Anu Wadhawa,centre_for_management_buy_out_research,0.0629921259843,False
ghandi_centre,"Alnuaimi, Tufool Dr",ghandi_centre,0.0854700854701,True
ghandi_centre,"Pinto, Jonathan Dr",global_finance_tech,0.0229885057471,False
ghandi_centre,"Mishina, Yuri Dr",centre_for_management_buy_out_research,0.0642857142857,False
