actual,staff,matched_to,sim,correct
brevan_howard,Professor Franklin Allen,health_mgmt,0.0347222222222,False
brevan_howard,Professor Douglas Gale,health_mgmt,0.0365853658537,False
centre_for_management_buy_out_research,"Wright, Mike Professor",centre_for_management_buy_out_research,0.0630630630631,True
enterprise_research_centre,"Wright, Mike Professor",centre_for_management_buy_out_research,0.0630630630631,False
centre_for_management_buy_out_research,"Ball, Rod",brevan_howard,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",centre_for_management_buy_out_research,0.0,True
centre_for_management_buy_out_research,"Ball, Rod",digital_city_exchange,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",energy_business_research,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",enterprise_research_centre,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",ghandi_centre,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",global_finance_tech,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",health_mgmt,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",hedge_funds,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",kpmg,0.0,False
centre_for_management_buy_out_research,"Ball, Rod",risk_mgmt,0.0,False
energy_business_research,"Autio, Erkko Prof ",ghandi_centre,0.0939226519337,False
energy_business_research,"Biffis, Enrico, Dr",risk_mgmt,0.0823529411765,False
hedge_funds,"Biffis, Enrico, Dr",risk_mgmt,0.0823529411765,False
risk_mgmt,"Biffis, Enrico, Dr",risk_mgmt,0.0823529411765,True
energy_business_research,"Della Corte, Pasquale Dr",hedge_funds,0.0425531914894,False
hedge_funds,"Della Corte, Pasquale Dr",hedge_funds,0.0425531914894,True
risk_mgmt,"Della Corte, Pasquale Dr",hedge_funds,0.0425531914894,False
energy_business_research,"Distaso, Walter Dr",ghandi_centre,0.0645161290323,False
hedge_funds,"Distaso, Walter Dr",ghandi_centre,0.0645161290323,False
risk_mgmt,"Distaso, Walter Dr",ghandi_centre,0.0645161290323,False
energy_business_research,"Green, Richard Prof",health_mgmt,0.0838709677419,False
ghandi_centre,"Green, Richard Prof",health_mgmt,0.0838709677419,False
energy_business_research,"Kosowski, Robert Dr ",enterprise_research_centre,0.0609756097561,False
hedge_funds,"Kosowski, Robert Dr ",enterprise_research_centre,0.0609756097561,False
risk_mgmt,"Kosowski, Robert Dr ",enterprise_research_centre,0.0609756097561,False
energy_business_research,"Martin, Ralf Dr",enterprise_research_centre,0.0535714285714,False
energy_business_research,"Ozaki, Ritsuko Dr",energy_business_research,0.0948275862069,True
energy_business_research,"Smith, Keith Dr",health_mgmt,0.078313253012,False
energy_business_research,"Wiesemann, Wolfram Dr",health_mgmt,0.041095890411,False
kpmg,"Wiesemann, Wolfram Dr",health_mgmt,0.041095890411,False
