,degree,betweenness,flow,eigen
0,16,0.437635281385,0.486387208359,0.355490721124
1,9,0.0539366883117,0.183764313814,0.265959604788
2,10,0.143656806157,0.252738461106,0.317192417269
3,6,0.0119092712843,0.0998773521632,0.211179693646
4,3,0.000631313131313,0.0468999202552,0.0759688786687
5,4,0.0299873737374,0.0717869484317,0.079483113041
6,4,0.0299873737374,0.0717869484317,0.079483113041
7,4,0.0,0.0535617822102,0.170959892271
8,5,0.0559268278018,0.103535927934,0.227404355332
9,2,0.000847763347763,0.0291263285686,0.102674503621
10,3,0.000631313131313,0.0468999202552,0.0759688786687
11,1,0.0,0.0,0.0528558168443
12,2,0.0,0.0217928730131,0.084254726653
13,5,0.0458633958634,0.0952161320392,0.226473112021
14,2,0.0,0.00987816025418,0.101403649968
15,2,0.0,0.00987816025418,0.101403649968
16,2,0.0,0.0157496012759,0.0236355663095
17,2,0.0,0.020610952535,0.0923996985904
18,2,0.0,0.00987816025418,0.101403649968
19,3,0.0324750481,0.0678812588553,0.14791291834
20,2,0.0,0.00987816025418,0.101403649968
21,2,0.0,0.020610952535,0.0923996985904
22,2,0.0,0.00987816025418,0.101403649968
23,5,0.0176136363636,0.092548701834,0.150118911532
24,3,0.0022095959596,0.0417710687608,0.0570523255111
25,3,0.00384048821549,0.0468428439469,0.0592063423546
26,2,0.0,0.0158944027183,0.0755796159706
27,4,0.0223334535835,0.0811857422783,0.133477385808
28,3,0.00179473304473,0.0475059951348,0.13107796379
29,4,0.00292207792208,0.0585462564095,0.134961122255
30,4,0.014411976912,0.0755953370033,0.174758637205
31,6,0.138275613276,0.155217013659,0.191034394033
32,12,0.145247113997,0.247681619001,0.308643748592
33,17,0.30407497595,0.390368519559,0.373362538968
